"Label","logR0=8.5","logR0=9","logR0=9.5","logR0=10","logR0=10.248","logR0=10.5","logR0=11","logR0=11.5"
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",42.6188,42.8324,43.099,43.367,43.4907,43.5973,43.6439,43.3985
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.14159,5.12296,5.10841,5.09574,5.08974,5.08332,5.06428,5.03672
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",3.98991,4.06828,4.17488,4.27902,4.32053,4.34957,4.35868,4.28655
"Size_DblN_peak_SoCA_Rec(7)",24.1183,24.2599,24.424,24.578,24.6445,24.7087,24.8195,24.887
"Size_DblN_ascend_se_SoCA_Rec(7)",2.79583,2.82865,2.86631,2.8995,2.91266,2.92498,2.94471,2.9544
"Size_DblN_descend_se_SoCA_Rec(7)",3.66294,3.59713,3.5052,3.40993,3.36502,3.32055,3.24725,3.21482
"Size_DblN_end_logit_SoCA_Rec(7)",-1.70008,-1.54074,-1.36362,-1.19014,-1.10802,-1.02918,-0.902561,-0.845583
"Size_DblN_peak_TWL_discard(8)",28.9242,29.0732,29.2585,29.4514,29.5467,29.6443,29.8031,29.8814
"Size_DblN_ascend_se_TWL_discard(8)",4.15146,4.15729,4.16742,4.17729,4.18199,4.18701,4.19196,4.18933
"Size_DblN_descend_se_TWL_discard(8)",3.2581,3.25019,3.2332,3.21174,3.20012,3.18672,3.16342,3.15045
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.4551,50.394,50.3599,50.2899,50.2373,50.1666,49.9487,49.6075
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.0732,4.06569,4.06128,4.05493,4.05049,4.04474,4.02845,4.00546
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.3211,47.3729,47.4417,47.4444,47.4104,47.3406,47.0439,46.5199
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.77548,4.75771,4.74289,4.7265,4.71708,4.70628,4.6804,4.65054
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",32.7394,32.9945,33.254,33.4693,33.5853,33.6842,33.6886,33.4098
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.08243,3.13171,3.17898,3.2137,3.23437,3.25117,3.23998,3.16675
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.1099,30.2705,30.416,30.5292,30.5808,30.6279,30.6825,30.6632
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.70317,3.71467,3.72404,3.72939,3.73193,3.73387,3.73194,3.71953
"Bratio_2025",0.403139,0.529627,0.592212,0.605914,0.602519,0.596408,0.590689,0.621976
"SSB_unfished",11427.3,10879.9,11355.6,12824.9,13944.8,15408.5,19663.6,27272
"Totbio_unfished",37667.7,39115.3,44401.4,54187.6,61068.1,69848.5,94651,136732
"Recr_unfished",4914.77,8103.08,13359.7,22026.5,28214.7,36315.5,59874.1,98715.8
"Dead_Catch_SPR",790.308,1069.01,1478.85,2094.89,2508.62,3030.15,4482.59,6856.46
"OFLCatch_2025",725.186,1168.66,1718.42,2439.61,2894.38,3455.32,5045.21,8001.46
