"area","year","est","lwr","upr","log_est","se"
"CA",1980,26052.7182196577,11116.0277882058,61059.9523107563,10.1678773879819,0.43456619815588
"CA",1983,14403.8641570256,7442.43491381877,27876.80444055,9.57525179380411,0.336893152815473
"CA",1986,20051.5683165176,10326.2801059708,38936.1307097889,9.90606264995086,0.33858543515766
"CA",1989,28441.4656679815,18140.8609826518,44590.8807810467,10.2556034180317,0.229433416034513
"CA",1992,7672.29689387543,4593.17459315561,12815.5676284297,8.94537131418201,0.261762267952883
"CA",1995,11612.6311433009,7326.32146436423,18406.6728065781,9.35984867634581,0.235014448057955
"CA",1998,10007.5940851194,6324.4619020638,15835.6459289977,9.21109949228338,0.234146780603697
"CA",2001,13482.4713692712,8424.63047513629,21576.8554786705,9.50914570366166,0.239918087082244
"CA",2004,41299.5171669529,25232.4915046777,67597.3721385081,10.628606088008,0.251391506917101
"North of Cape Mendocino",1980,579.954614050252,202.105846764924,1664.21387476926,6.36294984884115,0.537845747731135
"North of Cape Mendocino",1983,330.059728339541,126.246308692915,862.91175876325,5.79927363305122,0.490334930120993
"North of Cape Mendocino",1986,574.281762651635,221.930752845258,1486.04706056318,6.35312015157922,0.485087863851211
"North of Cape Mendocino",1989,936.298973788175,416.785383868034,2103.37454778492,6.84193484191538,0.412948108215445
"North of Cape Mendocino",1992,195.022652339061,80.1639632597854,474.450530871423,5.27311571765836,0.453601008331311
"North of Cape Mendocino",1995,269.71043902963,115.290952082808,630.957760408701,5.59734893547608,0.433625306798041
"North of Cape Mendocino",1998,211.677427456196,92.7128044732319,483.291747553705,5.35506354730809,0.421210268507299
"North of Cape Mendocino",2001,280.293066540631,116.186907321443,676.188091773497,5.63583572201262,0.449312112132149
"North of Cape Mendocino",2004,1278.64866439229,556.189014869313,2939.54458510177,7.15355906829369,0.424727639681131
"South of Cape Mendocino",1980,25620.6321168163,10916.7358418912,60129.4012763729,10.1511532479339,0.435263589344513
"South of Cape Mendocino",1983,14158.4912512681,7313.30006180013,27410.7274169322,9.55806981151917,0.337057170955229
"South of Cape Mendocino",1986,19633.2053198724,10100.9078187389,38161.1987802887,9.88497756074008,0.339086322069574
"South of Cape Mendocino",1989,27770.5638590589,17694.3551303583,43584.7597365619,10.2317318847061,0.229968989100741
"South of Cape Mendocino",1992,7528.55392862035,4506.67885862957,12576.694731113,8.92645826099976,0.261812206145094
"South of Cape Mendocino",1995,11412.3320636863,7196.96437778647,18096.7024838741,9.34244980967437,0.235226367120714
"South of Cape Mendocino",1998,9849.31732081707,6217.68779456033,15602.1104454646,9.195157424233,0.234700253906999
"South of Cape Mendocino",2001,13272.646195949,8294.65338268948,21238.1553411844,9.49346051934906,0.239848337826532
"South of Cape Mendocino",2004,40376.2104217438,24643.3455535258,66153.2893121197,10.6059960395615,0.25190965634614
"North of Monterey Bay",1980,21287.1803589395,9056.3855281886,50035.861020225,9.96586030942378,0.436046246284429
"North of Monterey Bay",1983,11790.2577261668,6077.97524420099,22871.1325177027,9.37502885301827,0.338068432784286
"North of Monterey Bay",1986,16614.4230208846,8526.49352026513,32374.2757395909,9.71802645378696,0.340359812347934
"North of Monterey Bay",1989,23721.6177505855,14857.1094464232,37875.1432594694,10.07414205275,0.238733097227073
"North of Monterey Bay",1992,6317.86534661708,3718.42246180074,10734.5044701174,8.75113666847538,0.27045490873336
"North of Monterey Bay",1995,9513.25561594703,5883.15782137554,15383.2406272568,9.16044143301754,0.245204756628624
"North of Monterey Bay",1998,8149.92232976317,5097.16941438641,13031.0037947146,9.00576367609909,0.239454924659045
"North of Monterey Bay",2001,10966.9455015165,6544.90679655421,18376.7160284933,9.30264107343232,0.263371490326185
"North of Monterey Bay",2004,34348.607560661,20741.359788416,56882.810644615,10.4443167600213,0.257367850020273
"South of Monterey Bay",1980,4913.40637192697,1906.77327672585,12660.9505547227,8.49972274235014,0.482945115985373
"South of Monterey Bay",1983,2698.2932534408,1234.91324552886,5895.78782795069,7.9003747237598,0.398792391016247
"South of Monterey Bay",1986,3593.0640616395,1659.78446511472,7778.18422957288,8.18676061652304,0.394046824322648
"South of Monterey Bay",1989,4985.24508226166,2882.13051099431,8623.01982349859,8.5142378451316,0.279572884527469
"South of Monterey Bay",1992,1405.7112343423,761.823074344328,2593.80969269912,7.24829867029718,0.312548767376171
"South of Monterey Bay",1995,2168.78688676887,1223.05862667255,3845.79811436948,7.68192325185894,0.292256993019595
"South of Monterey Bay",1998,1911.07241851007,1040.08435215236,3511.44383744649,7.55541983913192,0.310394857887922
"South of Monterey Bay",2001,2585.99376097322,1568.14664422142,4264.50150975049,7.85786514671219,0.2552166422547
"South of Monterey Bay",2004,7306.25152547504,3991.98822231751,13372.111434366,8.89648563401078,0.308393905027234
