"Label","M_female=0.1","M_female=0.125","M_female=0.15","M_female=0.171","M_female=0.175","M_female=0.2","M_female=0.225","M_female=0.25"
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",42.6266,42.9008,43.2053,43.4907,43.5545,43.9578,44.3698,44.8169
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.11043,5.10128,5.09415,5.08974,5.08962,5.08819,5.08702,5.08972
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.10026,4.16519,4.24399,4.32053,4.33414,4.43497,4.56432,4.78423
"Size_DblN_peak_SoCA_Rec(7)",24.202,24.3687,24.5293,24.6445,24.6654,24.794,24.9142,25.0267
"Size_DblN_ascend_se_SoCA_Rec(7)",2.81298,2.85247,2.88895,2.91266,2.91687,2.94202,2.96411,2.98337
"Size_DblN_descend_se_SoCA_Rec(7)",3.65808,3.55594,3.45017,3.365,3.34842,3.24128,3.13094,3.01707
"Size_DblN_end_logit_SoCA_Rec(7)",-1.57859,-1.41396,-1.24826,-1.10802,-1.08119,-0.911697,-0.74297,-0.576473
"Size_DblN_peak_TWL_discard(8)",29.0779,29.2308,29.3981,29.5467,29.5774,29.773,29.9684,30.1595
"Size_DblN_ascend_se_TWL_discard(8)",4.15875,4.1664,4.17482,4.18199,4.1838,4.19443,4.20331,4.21004
"Size_DblN_descend_se_TWL_discard(8)",3.24617,3.23327,3.21632,3.20012,3.1964,3.17191,3.14678,3.12136
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",49.9029,49.9761,50.1029,50.2373,50.2655,50.4417,50.6428,50.8891
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.03121,4.03597,4.0435,4.05049,4.05182,4.0589,4.06808,4.0807
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",47.1717,47.245,47.3309,47.4104,47.428,47.5336,47.6229,47.7155
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.74764,4.73557,4.72522,4.71708,4.7156,4.70639,4.69696,4.68901
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",33.017,33.2034,33.3913,33.5853,33.6383,33.9444,34.2202,34.4499
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.13997,3.17129,3.20106,3.23438,3.24489,3.30074,3.34539,3.37689
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.0686,30.2083,30.3878,30.5808,30.6259,30.944,31.3152,31.7838
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.68339,3.6941,3.71105,3.73193,3.7374,3.77653,3.82223,3.88242
"Bratio_2025",0.538975,0.585991,0.603136,0.60252,0.601371,0.589623,0.574917,0.563175
"SSB_unfished",12682,12675.2,13153.9,13944.8,14135.9,15771.2,18567.8,24157.3
"Totbio_unfished",45141.5,48602.9,54241.1,61068.5,62604,74955.1,94651.4,132128
"Recr_unfished",9028.26,13598.6,20227.4,28215.1,30039.9,45035.8,69663.4,116945
"Dead_Catch_SPR",1206.97,1557.08,2009.87,2508.64,2617.76,3473.09,4792.97,7235.52
"OFLCatch_2025",1342.88,1796.78,2333.61,2894.41,3015.11,3950.84,5399.57,8170.25
